gene_id,SRR10229809,SRR10229810,SRR10229811,SRR10229812,SRR10229813,SRR10229814,SRR10229815,SRR10229816
gene_954,21,7,51,25,141,3,9,91
gene_955,52,25,68,18,632,34,24,466
gene_957,2832,1161,2383,964,26506,2153,838,17478
gene_958,19,15,13,7,142,10,7,146
gene_959,986,368,638,328,5837,824,319,3219
gene_960,245,114,399,173,2096,208,86,1621
gene_961,73,21,41,25,427,37,9,251
gene_962,3485,1449,1512,630,11532,2488,960,6825
gene_965,58,12,52,8,468,56,10,289
gene_966,4,0,0,8,21,6,5,16
gene_967,24,4,2,0,43,0,0,18
gene_968,951,351,612,288,9604,705,282,7219
gene_970,18231,7480,14559,5572,267378,15448,6082,170787
gene_971,530,197,268,70,1636,389,220,951
gene_972,3080,1165,2048,796,14671,2063,753,8598
gene_973,2786,1403,6739,3236,16410,2343,1182,9943
gene_974,31,15,10,8,98,24,15,40
gene_975,292,140,197,91,1923,282,129,1133
gene_976,505,150,254,115,2834,299,119,1575
gene_977,406,164,281,112,2709,308,176,1739
gene_978,383,215,262,132,2574,430,179,1639
gene_979,9,5,3,0,35,0,0,45
gene_980,219,70,278,96,1677,132,53,1143
gene_981,64,21,32,9,146,33,10,95
gene_982,425,147,275,109,2769,216,79,1588
gene_983,1269,499,822,334,5888,738,315,3896
gene_984,38,22,39,15,300,24,14,223
gene_986,7,11,10,2,63,9,4,35
gene_987,571,243,595,343,4442,436,193,3002
gene_988,48,22,36,0,252,36,10,295
gene_990,233,102,84,43,496,137,47,361
gene_993,280,169,187,90,1812,306,119,889
gene_994,95,48,19,12,29,63,41,13
gene_995,22672,9499,12978,5340,144012,18214,7896,106119
gene_996,61,35,14,17,220,34,17,160
gene_997,1199,454,870,407,12861,1063,429,7310
gene_998,211,138,321,180,1642,196,107,946
gene_999,353,133,185,72,1751,266,91,1069
gene_1000,484,188,353,155,2898,422,151,2037
gene_1001,13883,5554,2371,1070,21249,10960,4365,12767
gene_1002,29,13,43,14,144,27,8,69
gene_1003,455,187,243,78,2037,290,155,1076
gene_1005,688,275,439,150,4363,492,189,2412
gene_1007,276,105,206,81,1152,189,88,745
gene_1008,29,8,8,17,51,22,12,18
gene_1009,34,2,60,24,503,44,12,367
gene_1010,122,60,200,61,1302,95,45,790
gene_1011,904,315,853,358,4354,633,230,2531
gene_1012,3403,1642,2995,1280,22307,2855,1192,14316
gene_1013,1617,576,929,306,8451,1282,483,4105
gene_1014,5,0,6,0,4,6,4,3
gene_1015,479,167,333,185,3015,378,161,2231
gene_1016,2016,851,1242,464,6935,1334,655,4685
gene_1018,143,97,85,48,835,134,81,458
gene_1019,662,279,730,335,5889,560,303,3681
gene_1020,637,268,580,256,2898,495,229,1745
gene_1021,1834,788,789,303,8531,1552,532,5184
gene_1022,259,86,126,53,1139,225,110,534
gene_1023,47,22,9,7,133,30,5,57
gene_1024,11,15,23,3,134,33,9,33
gene_1025,334,169,139,76,1910,287,100,956
gene_1026,135,64,78,36,839,104,52,546
gene_1027,622,248,447,143,1957,503,198,1154
gene_1028,21,6,6,4,118,15,0,56
gene_1029,373,190,288,105,1415,258,111,894
gene_1030,50,32,38,8,336,51,28,265
gene_1031,5,5,0,11,123,9,10,87
gene_1032,2409,1287,4092,2017,20460,2188,1014,13188
gene_2019,73,36,37,17,421,72,37,220
gene_2020,107,46,89,31,717,88,45,412
gene_2022,1920,782,1232,502,7532,1545,563,4120
gene_2023,1355,575,497,173,5987,976,454,4084
gene_2027,0,0,5,0,20,0,0,13
gene_2028,74,24,35,30,590,27,24,393
gene_2025,1063,486,737,325,6422,927,373,4366
gene_2026,42,42,51,23,578,52,44,491
gene_2029,119,28,77,36,760,69,34,493
gene_2033,0,0,0,0,6,0,0,4
gene_2036,10,16,11,0,89,15,13,58
gene_2034,6,0,15,10,102,3,0,79
gene_2030,413,172,245,95,1591,286,129,718
gene_2031,70,33,64,25,535,103,51,270
gene_2032,6,0,3,0,31,0,2,6
gene_2040,11,11,14,0,190,15,3,117
gene_2037,631,248,333,124,3066,642,181,1362
gene_2038,296,105,223,79,1370,242,94,888
gene_2039,380,126,274,98,5781,414,165,3939
gene_2041,715,266,489,214,3783,620,251,2098
gene_2042,153,74,122,42,542,94,64,373
gene_2043,309,112,373,120,2080,198,69,1549
gene_2044,169,70,143,55,1123,116,51,854
gene_2047,7,0,0,0,7,0,0,5
gene_2048,0,6,0,0,33,8,0,17
gene_2049,5,14,0,0,26,0,0,32
gene_2050,4,0,0,0,8,0,0,16
