"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene_6133",953.873857644945,0.784652106744501,0.116383894167901,6.74193033627597,1.56296023280171e-11,9.12153840782637e-10
"gene_5993",234.094175180604,-1.54068711477706,0.228945496299061,-6.7294930002228,1.70255276722149e-11,9.88220845322041e-10
"gene_1038",895.644131260659,-1.04564731514209,0.156156116378866,-6.69616624305086,2.13958312434496e-11,1.23517555502725e-09
"gene_10840",154.601737515665,-1.80584298142547,0.269904102486142,-6.69068370873761,2.22130306422198e-11,1.27545788848875e-09
"gene_12519",580.532608891465,1.62564575691321,0.243066282993355,6.68807593094945,2.2612381114835e-11,1.29144508185261e-09
"gene_1798",420.836072879717,0.949614907071691,0.142067141713874,6.68426840728756,2.32081102222038e-11,1.31841817645286e-09
"gene_2064",239.145659343901,-1.05570577299585,0.157975243891123,-6.68272918586816,2.34532755300668e-11,1.32529620455616e-09
"gene_88",2146.18389881551,1.10444583186789,0.165324057354677,6.68049072554803,2.38143453503253e-11,1.33861688600776e-09
"gene_3681",482.845230665755,1.3049962728454,0.195823889441078,6.66413212693372,2.66233872561033e-11,1.4886794549486e-09
"gene_16415",238.818155832013,-1.06260604049114,0.15948338331439,-6.66280096652089,2.68657391581885e-11,1.49440674067424e-09
"gene_6413",366.052502345549,1.04225911025144,0.157766776776166,6.6063282241619,3.93968910362519e-11,2.18009738998534e-09
"gene_4993",905.003732313993,-0.918616948302057,0.139161066791777,-6.60110596648818,4.08101706592124e-11,2.24666300330097e-09
"gene_7862",2484.32280275283,-1.01808903476149,0.154430794228595,-6.5925260557455,4.3240526452103e-11,2.36825037183826e-09
"gene_13976",5015.44656041499,-0.548476628144861,0.0838321444397991,-6.54255753339017,6.04755579439028e-11,3.29530081041266e-09
"gene_11940",291.848916025564,1.10114103954412,0.16890511289361,6.51928778637807,7.0642004603377e-11,3.82972898052825e-09
"gene_1333",138.611776251225,-1.46933741557994,0.225977647169472,-6.50213609170828,7.91874100450524e-11,4.2713209054604e-09
"gene_534",205.607183172077,1.03606310223398,0.159500767501223,6.49566217432802,8.26689785664159e-11,4.41704511656761e-09
"gene_4157",696.123287938382,-0.816720491837773,0.125734879450791,-6.49557621087483,8.27162006847867e-11,4.41704511656761e-09
"gene_8610",3739.6737834139,0.832932134533749,0.128252444286702,6.4944737635703,8.33241488279526e-11,4.4273726839927e-09
"gene_793",1783.17393046108,0.691868906794454,0.106665334262183,6.48635202411537,8.79395652488173e-11,4.6494780042444e-09
"gene_3240",2842.1573607157,0.697164810526125,0.107726666869102,6.47160847715865,9.69651070762428e-11,5.10141548558755e-09
"gene_2558",117.997851806657,-2.51764696172892,0.389288731498072,-6.46729986773684,9.97695436452013e-11,5.22322904966054e-09
"gene_1162",1827.84104925625,0.621789593668927,0.0963004157850852,6.4567695642829,1.06961574579062e-10,5.55565631860741e-09
"gene_7326",297.275365302095,-1.17701034456759,0.182298810747235,-6.45648942932251,1.07159663074263e-10,5.55565631860741e-09
"gene_7452",312.049660781941,1.41805175758507,0.219837946561933,6.45044124438988,1.11524964431461e-10,5.75404164313045e-09
"gene_5184",1974.76168527241,-0.559004099705377,0.0868833971512814,-6.43395767239671,1.24323493945829e-10,6.38353324683389e-09
"gene_3261",150.516283187232,-1.71517074652945,0.266811055792614,-6.42840957783477,1.28945918600601e-10,6.58919813710248e-09
"gene_7340",2513.04625626343,-0.559558998520897,0.0871394157895936,-6.4214224234875,1.35006810581394e-10,6.86606065242516e-09
"gene_10855",23858.5786371018,1.06313985285186,0.165733981433219,6.41473669828081,1.41066456691828e-10,7.14023581738733e-09
"gene_6472",2748.2260904834,-0.534154525335423,0.0834431990322191,-6.40141475315652,1.5394375776965e-10,7.75527987254649e-09
"gene_2403",1704.18848725683,-1.11711236452167,0.175066728033281,-6.38106610588676,1.75859368180738e-10,8.81773733413276e-09
"gene_386",538.852042385619,-1.23200797187674,0.193189485471523,-6.37719992301727,1.80354962509149e-10,9.00089252148464e-09
"gene_10891",1060.22711803341,-0.96820837841066,0.15188900279116,-6.37444686987576,1.83624457526442e-10,9.12143816922047e-09
"gene_4657",1480.56882661097,-0.716662940306494,0.112455046380016,-6.37288377334972,1.85506471580152e-10,9.17226442812973e-09
"gene_7480",445.390475058302,1.04749039415351,0.164607475853359,6.36356513410527,1.97123742496843e-10,9.70175838648059e-09
"gene_506",549.287014548863,-0.941532513845618,0.148077409895987,-6.35838048833357,2.03891925430099e-10,9.98883377795164e-09
"gene_10481",1416.49002043998,-0.702761580156984,0.1110207390347,-6.33000272081898,2.45156876060733e-10,1.19555955996741e-08
"gene_7393",417.119872815436,-0.897938982907341,0.142046387002547,-6.32144894252916,2.59121997070449e-10,1.25222756955312e-08
"gene_3033",40.4171524511178,5.06612217833257,0.801396022444655,6.32162131636039,2.58833051916362e-10,1.25222756955312e-08
"gene_7634",377.27060834655,1.06380000800617,0.168505837345835,6.3131344573118,2.7343972584602e-10,1.31546678920518e-08
"gene_6700",486.548832020981,0.754525482307704,0.119912449016022,6.29230316367642,3.12789833004713e-10,1.4980248504441e-08
"gene_6431",1536.17150027741,-0.780060245782016,0.124371671125506,-6.27200904131006,3.5641887925278e-10,1.69935429929451e-08
"gene_8623",270.616316730587,-0.978178578251258,0.156016871769239,-6.26969741899492,3.61750378476839e-10,1.71710846317006e-08
"gene_3827",1049.63794830743,-1.42191322636827,0.227458186999122,-6.25131697885977,4.07005865857816e-10,1.92238649901352e-08
"gene_4376",2089.01711349466,-1.01659728765829,0.162637152048675,-6.25070763262035,4.08597130408305e-10,1.92238649901352e-08
"gene_5136",46.4507589955364,-2.69180487621658,0.431458502208077,-6.23884999934111,4.40799423609723e-10,2.0647973000666e-08
"gene_2065",422.707529559955,-1.16029607880137,0.186240641827371,-6.23009063659083,4.66165396566175e-10,2.16462888492467e-08
"gene_5724",952.993290392759,-1.10572513438785,0.177467272571347,-6.23058617156196,4.64693135725264e-10,2.16462888492467e-08
"gene_7266",243.96539220823,-1.2319654540116,0.19801209119685,-6.22166781111798,4.91897654784232e-10,2.2742281182232e-08
"gene_1506",466.174015763894,-1.01610551555425,0.163526668390036,-6.21369912050483,5.1751578909917e-10,2.38235716705997e-08
"gene_15221",100.682470485351,1.58740130201072,0.256154622954495,6.19704334710646,5.75336602840838e-10,2.63716520100436e-08
"gene_7830",125.849559016984,-1.50511924964449,0.24347570298706,-6.18180471882439,6.33728903982225e-10,2.89240371561118e-08
"gene_16182",803.550032973109,0.965096268036408,0.156170399654985,6.17976434822809,6.41973547086514e-10,2.9175648863336e-08
"gene_6520",520.330422302867,-0.803539826796938,0.130065271552976,-6.17797369891821,6.49295276385899e-10,2.93833625076331e-08
"gene_11292",47.2225807170593,-2.12613290203408,0.344514734852635,-6.1713845213138,6.76945647151875e-10,3.05053987830465e-08
"gene_16428",1762.49834927951,-1.08939711792509,0.176567735939134,-6.16985380783622,6.83531617086086e-10,3.0672763321342e-08
"gene_10786",323.707861276654,-1.29724929896021,0.210428491994834,-6.16479872408182,7.05728496305546e-10,3.15363194164989e-08
"gene_13156",131.229754601236,-1.31503772616213,0.214210506071435,-6.1389973362165,8.30439596962936e-10,3.69545620648506e-08
"gene_6153",1090.52014426117,-0.784449334441955,0.127977195977789,-6.1296024533785,8.80989283977383e-10,3.90413508418193e-08
"gene_15755",419.229528072312,1.13982857448798,0.186530311863192,6.11068819379865,9.92024183379011e-10,4.37802408201977e-08
"gene_15141",206.386245211889,1.61919765490488,0.265295156612051,6.10338189201352,1.03847313710686e-09,4.56415354086473e-08
"gene_8449",3735.30485983018,0.626919622089045,0.102750765683558,6.10136204745932,1.05168386701397e-09,4.60327200807755e-08
"gene_7352",1661.31714050465,1.10757037802456,0.181954400631734,6.08707662018145,1.14990948534491e-09,5.01266665448312e-08
"gene_11315",1252.29799229897,-0.97947622819638,0.161177039433329,-6.07702084391209,1.22435853196194e-09,5.31550777290794e-08
"gene_14125",123.355873105864,1.80798211248034,0.297892600767976,6.06924142398738,1.28515829288325e-09,5.55687877246682e-08
"gene_8598",334.101082856233,-0.874247866340242,0.144234976917601,-6.06127504592514,1.35046667096443e-09,5.8157193733468e-08
"gene_1485",124.278270423843,-1.48581039822724,0.245585272766389,-6.0500793939733,1.44774468093477e-09,6.20960369172023e-08
"gene_12995",533.15106053827,-0.949286765041743,0.157622124211346,-6.02254772159335,1.71692723325752e-09,7.33471314047614e-08
"gene_3404",4749.19060088254,-0.709624059518474,0.117969195082957,-6.01533357093318,1.79516653405888e-09,7.60808673958289e-08
"gene_4069",61.9698194331781,2.76349883529346,0.459383245185773,6.01567180399867,1.79142192102713e-09,7.60808673958289e-08
"gene_7620",546.971472681714,-1.24599039251416,0.207217542865365,-6.01295805019617,1.82168190259211e-09,7.68994573900542e-08
"gene_13836",2995.20384472298,0.886489971401634,0.147454595693844,6.01195213503029,1.83302450301128e-09,7.70736287092934e-08
"gene_2747",29.8574961747439,-3.02007130401633,0.503099736932538,-6.00292761516848,1.93791028096952e-09,8.11642423558999e-08
"gene_13052",616.941151890879,-0.793942227346468,0.132329595541058,-5.99973289497532,1.97642369001043e-09,8.24539258176227e-08
"gene_8589",393.978138985982,-0.921470232584708,0.15377766257752,-5.99222420954793,2.06990276353296e-09,8.56843469555506e-08
"gene_14192",147.305758401164,-2.05834328532369,0.343478317218458,-5.99264402478876,2.06456449770413e-09,8.56843469555506e-08
"gene_56",2154.24119863605,1.58389902076354,0.264374456478445,5.99111972412766,2.08401143100178e-09,8.57705371243414e-08
"gene_962",2389.71773083491,-0.624821704531276,0.104296782804247,-5.99080515938823,2.08804678392591e-09,8.57705371243414e-08
"gene_1403",1513.97100763922,0.68301222648186,0.11403712943129,5.9893845968246,2.10636529454023e-09,8.60657053692872e-08
"gene_11458",741.162162236972,0.776007695883134,0.129572161721569,5.9890001492038,2.11134970100686e-09,8.60657053692872e-08
"gene_1204",1405.85565517567,-0.647029987245356,0.108244545821375,-5.97748350584872,2.26610863522067e-09,9.15140371215372e-08
