"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene_2643",19293.4134616291,-1.95386209785751,0.18223571525885,-10.7216200462254,8.05794067399375e-27,7.6304221549013e-25
"gene_7980",2016.19395937091,-1.15626509291799,0.107906337310977,-10.7154512119684,8.61362123456406e-27,8.08178939136575e-25
"gene_9075",19604.7534105386,-1.13288151224567,0.105815493388632,-10.7061969468394,9.5192416381883e-27,8.8502985667047e-25
"gene_3704",929.599904079625,-0.986063963479142,0.092123779460303,-10.7036855115573,9.78089146383046e-27,9.01163756762109e-25
"gene_6530",9884.45445654353,-1.25624899599362,0.118221089717467,-10.6262681133788,2.24934033362409e-26,2.0539288921405e-24
"gene_12495",59202.2461665263,-1.08299062200256,0.101984136115439,-10.6192067046261,2.42614100796383e-26,2.1957649635793e-24
"gene_2016",295.177124487778,2.06244962715772,0.194333403950934,10.612944482146,2.59441746822555e-26,2.32746556557392e-24
"gene_6172",599.460525369431,1.52240468434286,0.144018737966169,10.5708792192061,4.06664032640317e-26,3.61648092331523e-24
"gene_6291",246.800302379877,3.1095501858526,0.294590970804728,10.5554836842362,4.79165307735543e-26,4.22450310535465e-24
"gene_2676",1353.6952991803,0.799098435031097,0.0759514571571583,10.5211731932622,6.90088947792872e-26,6.0320851872459e-24
"gene_10725",71634.3874645707,-1.17996186654405,0.112606073054566,-10.4786698846365,1.08255532275435e-25,9.38245193712601e-24
"gene_5554",714.310865477217,1.68882474935817,0.161348699643997,10.4669250702636,1.22559597046493e-25,1.05329159579368e-23
"gene_10631",4521.49423676,1.23114224864577,0.118164209429553,10.4189098762578,2.03269626610366e-25,1.73236539278685e-23
"gene_10871",1361.60738170318,-1.10359244672865,0.105949840035054,-10.4161785082783,2.09190437293453e-25,1.76809140677698e-23
"gene_1539",550.629778783128,-1.09000974334588,0.104774983682518,-10.403339662154,2.39392839793761e-25,2.00677915784491e-23
"gene_11295",1738.41874451499,-0.810230447119681,0.0779403216901544,-10.3955235178614,2.59856001666439e-25,2.16060758458754e-23
"gene_6442",814.489842872111,-1.42305167259028,0.136923917960283,-10.3930101752059,2.6679738454383e-25,2.20043294494335e-23
"gene_320",388.207537821449,1.35193159519189,0.130524745896408,10.3576650228828,3.86276530736421e-25,3.1603600638731e-23
"gene_33",18306.6471188772,-0.717462075112536,0.0692900375847965,-10.3544766335927,3.99364720094088e-25,3.24151031143035e-23
"gene_6272",616.322994803717,1.71496545156713,0.166018236688273,10.3299823307198,5.15700834073316e-25,4.15281293706126e-23
"gene_8612",548.85508246455,1.41038922293955,0.136951949442794,10.2984238536063,7.16252015172152e-25,5.72274168684812e-23
"gene_835",2473.96332283525,1.27233679846207,0.123766278258778,10.2801572153749,8.65862465636304e-25,6.86447708221898e-23
"gene_4271",549.258299476436,-1.36217027370002,0.132954876093229,-10.2453577764598,1.24164650368013e-24,9.76793753318204e-23
"gene_6223",10353.5662992615,-0.941804089259718,0.0919795681171514,-10.2392749665901,1.32223496462963e-24,1.032251678112e-22
"gene_8491",874.976696672587,2.21792879438227,0.216715707333264,10.2342779933877,1.39229796770013e-24,1.07871449361131e-22
"gene_1422",1994.66144453303,-0.635618302732791,0.0621388733560283,-10.2289962531341,1.47035407742358e-24,1.13062489848203e-22
"gene_7828",380.13841265268,1.20625321937606,0.118016127724442,10.2210879363248,1.59540146361137e-24,1.21378642118193e-22
"gene_10394",7741.8491407556,-0.959468956238142,0.0938753179767905,-10.2206733028096,1.60224080238155e-24,1.21378642118193e-22
"gene_2178",563.071667243093,1.1622209343454,0.114248701182921,10.1727277624329,2.62453872707695e-24,1.97361452660412e-22
"gene_8043",355.214946099958,1.56034976076095,0.153419584725373,10.1704731084629,2.6860082434645e-24,2.00509535079645e-22
"gene_10050",1578.30620461461,1.74297803181977,0.171489297745318,10.1637714699159,2.87726306335933e-24,2.13230212673738e-22
"gene_8570",2146.25304536325,1.3332267944909,0.131434252241277,10.1436784685583,3.53530847289203e-24,2.60112228433574e-22
"gene_5184",45452.2246000812,-1.38705691085747,0.137057383739445,-10.1202640311182,4.49202201194738e-24,3.28142207972756e-22
"gene_3155",390.325232444086,1.84521054720953,0.182586386537319,10.1059590597264,5.19844118320544e-24,3.77052893479731e-22
"gene_3785",274.986152255273,1.73559353527818,0.171774438435329,10.1039104018472,5.30823459107467e-24,3.79631574565879e-22
"gene_8903",1806.71589721226,-1.59487051765283,0.157841919733191,-10.1042265600211,5.29114210892774e-24,3.79631574565879e-22
