gene_id,SRR10229797,SRR10229798,SRR10229799,SRR10229800,SRR10229801,SRR10229802,SRR10229803,SRR10229804,SRR10229805
gene_12012,11447,5189,14608,6079,15411,5429,63018,46612,51307
gene_12016,107,56,163,43,112,28,622,309,386
gene_12018,40,33,31,14,57,15,138,154,79
gene_12021,94,19,82,31,47,14,412,333,279
gene_12022,69,30,77,14,74,44,411,203,218
gene_12023,47,19,57,21,60,14,289,238,280
gene_12024,277,150,263,102,380,127,1257,633,846
gene_12138,20,0,4,4,5,0,43,48,18
gene_12142,0,0,0,0,0,0,0,0,5
gene_12141,20,7,8,10,9,0,376,374,365
gene_12139,28,16,14,13,15,6,228,121,74
gene_12140,488,193,427,192,438,161,2604,2031,1777
gene_12145,89,24,105,36,150,37,749,563,671
gene_12146,209,63,133,59,61,26,341,205,266
gene_12147,103,57,176,74,242,97,1132,598,899
gene_12149,57,39,49,23,32,12,223,149,203
gene_12150,238,83,216,83,24,17,305,297,338
gene_12154,30,19,14,11,3,12,152,62,84
gene_12152,226,128,121,59,62,27,236,128,117
gene_12153,365,169,269,186,352,173,2197,1400,1435
gene_12155,22,17,20,16,19,6,92,52,62
gene_12156,3,0,2,0,0,0,13,14,23
gene_12158,175,61,178,103,208,83,1462,1022,1099
gene_12159,15,14,16,5,0,0,150,70,101
gene_12168,98,36,117,23,178,60,1046,531,766
gene_12172,72,10,41,26,59,12,275,227,188
gene_12173,158,48,131,80,165,31,771,400,325
gene_12176,2,0,2,0,0,0,11,6,19
gene_12179,35,21,23,5,22,2,393,169,171
gene_12180,5,0,0,3,0,0,68,27,33
gene_12185,32,14,16,25,10,7,234,161,146
gene_12187,0,0,4,0,6,0,23,24,18
gene_12193,5,0,4,3,2,0,20,24,21
gene_12195,0,0,5,0,0,3,23,28,29
gene_12196,7,6,0,0,0,0,27,0,17
gene_12205,0,0,0,0,0,0,0,0,0
gene_12204,42,21,27,8,15,0,99,90,64
gene_12206,258,113,281,104,319,103,1397,1290,1309
gene_12207,122,52,132,36,104,31,1047,671,743
gene_12208,13,0,4,8,4,0,7,20,18
gene_12209,0,0,0,0,0,0,14,0,17
gene_12210,14,10,19,0,23,7,79,75,80
gene_12211,166,94,248,89,363,103,1135,680,674
gene_12215,5,0,7,4,0,0,50,27,33
gene_12221,0,0,0,0,0,0,9,12,14
gene_12220,61,21,37,12,38,5,161,105,123
gene_12224,14,0,0,0,9,6,32,36,22
gene_12225,183,72,182,64,87,55,1102,823,881
gene_12227,8,3,0,0,0,0,21,10,7
gene_12233,3,0,0,0,0,0,7,0,0
gene_12228,252,89,247,118,320,99,935,685,584
gene_12229,13,11,18,17,11,7,165,126,115
gene_12237,9,17,12,0,0,10,71,35,17
gene_12241,179,82,141,63,145,56,876,587,585
gene_12243,0,0,5,0,7,7,39,13,10
gene_12244,0,0,0,0,0,0,0,0,0
gene_12248,0,7,5,0,0,0,10,9,6
gene_12255,70,25,80,31,53,24,326,215,251
gene_12258,8,7,0,0,0,0,28,10,20
gene_12259,0,0,6,0,8,0,17,4,0
gene_12260,0,0,0,0,0,0,70,66,66
gene_12261,2,0,4,2,7,2,106,23,23
gene_12262,40,30,54,23,45,12,221,147,132
gene_12263,42,32,52,16,25,23,266,200,206
gene_12264,0,0,3,0,6,0,52,56,36
gene_12265,28,9,13,12,24,6,390,252,206
gene_12266,78,28,48,34,92,19,689,542,551
gene_12267,35,14,27,13,13,0,168,80,113
gene_12268,153,69,166,42,220,98,1004,606,643
gene_12269,7,1,5,1,12,8,99,81,45
gene_12272,0,0,8,0,0,0,8,8,8
gene_12273,17,3,32,9,10,17,122,97,109
gene_12274,5,7,13,5,11,4,99,49,70
gene_12278,56,20,58,58,35,11,296,192,277
gene_12279,27,14,33,8,20,9,107,117,112
gene_12280,0,4,0,0,0,3,12,8,8
gene_12282,241,135,263,89,163,49,1297,888,960
gene_12285,2,0,0,0,0,0,4,4,0
gene_12287,2,3,5,0,2,0,10,22,7
